City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,koundara,12.4833,-13.3,313.25,13,85,0.94,GN,1676823773
381,vila franca do campo,37.7167,-25.4333,289.38,64,57,2.33,PT,1676823774
382,port blair,11.6667,92.75,299.19,74,37,4.48,IN,1676823774
383,amapa,1.0,-52.0,298.64,92,97,1.78,BR,1676823775
384,quatre cocos,-20.2078,57.7625,300.42,84,19,7.14,MU,1676823775
385,dali,25.7,100.1833,283.58,55,1,2.48,CN,1676823775
386,cervo,43.6702,-7.4101,286.46,88,93,6.49,ES,1676823776
387,munirabad,15.3333,76.3333,298.87,37,0,2.62,IN,1676823776
388,mount gambier,-37.8333,140.7667,285.96,95,1,0.13,AU,1676823776
389,antibes,43.5624,7.1278,288.23,72,75,2.06,FR,1676823777
390,alofi,-19.0595,-169.9187,297.09,88,96,3.09,NU,1676823777
391,sebring,27.4956,-81.4409,299.64,72,40,3.09,US,1676823715
392,tenamaxtlan,20.2167,-104.1667,294.97,42,0,0.92,MX,1676823780
393,ashtabula,41.7001,-80.7665,282.32,52,0,7.72,US,1676823780
394,cabedelo,-6.9811,-34.8339,304.52,67,77,4.57,BR,1676823545
395,matamoros,25.5333,-103.25,287.21,27,0,2.57,MX,1676823781
396,coolum beach,-26.5333,153.1,297.65,90,100,2.72,AU,1676823781
397,pouebo,-20.4,164.5667,296.91,79,31,5.23,NC,1676823782
398,basco,20.4487,121.9702,295.74,76,100,14.57,PH,1676823783
399,butzow,53.85,11.9833,278.82,74,64,3.06,DE,1676823783
400,hofn,64.2539,-15.2082,278.16,87,100,5.66,IS,1676823784
401,susanville,40.4163,-120.653,277.11,70,0,0.0,US,1676823784
402,morant bay,17.8815,-76.4093,301.94,69,25,5.83,JM,1676823785
403,athabasca,54.7169,-113.2854,260.38,94,100,2.71,CA,1676823682
404,les escoumins,48.1111,-69.0236,266.79,77,36,1.58,CA,1676823786
405,pisco,-13.7,-76.2167,301.18,65,0,8.23,PE,1676823787
406,rairangpur,22.2676,86.1751,295.51,46,0,2.55,IN,1676823787
407,tulnici,45.9167,26.6667,279.53,88,96,7.24,RO,1676823788
408,mersing,2.4312,103.8405,299.1,83,20,4.12,MY,1676823789
409,aksu,41.1231,80.2644,275.07,51,98,0.83,CN,1676823640
410,boa vista,2.8197,-60.6733,303.14,54,75,7.2,BR,1676823790
411,san quintin,30.4833,-115.95,287.01,66,0,1.98,MX,1676823790
412,goderich,43.7501,-81.7165,278.66,56,100,8.75,CA,1676823791
413,san jeronimo,-11.9472,-75.2829,285.84,71,100,1.3,PE,1676823791
414,bathsheba,13.2167,-59.5167,301.49,57,75,10.8,BB,1676823792
415,ocampo,21.65,-101.5,287.55,29,0,0.69,MX,1676823792
416,kalengwa,-13.4659,25.0027,291.43,95,100,3.91,ZM,1676823793
417,bloomingdale,27.8936,-82.2404,300.33,73,40,2.57,US,1676823793
418,gat,31.61,34.7642,291.7,3,0,4.3,IL,1676823793
419,buchanan,5.8808,-10.0467,302.81,64,6,5.57,LR,1676823794
420,kerrobert,51.9168,-109.1348,263.18,95,100,3.96,CA,1676823795
421,juan lacaze,-34.4342,-57.4381,299.19,23,0,1.94,UY,1676823795
422,rovaniemi,66.5,25.7167,268.82,93,100,3.09,FI,1676823795
423,astana,51.1801,71.446,254.12,84,0,4.0,KZ,1676823796
424,saint anthony,45.0205,-93.218,273.67,89,100,4.12,US,1676823797
425,inta,66.0317,60.1659,256.45,95,99,1.99,RU,1676823797
426,krasnoselkup,65.7,82.4667,256.34,98,100,1.16,RU,1676823798
427,rafai,4.95,23.9167,307.7,15,86,2.29,CF,1676823798
428,gallup,35.5281,-108.7426,277.57,75,100,0.0,US,1676823502
429,leningradskiy,69.3833,178.4167,238.56,97,99,2.59,RU,1676823799
430,derzhavinsk,51.1,66.3167,267.68,94,100,6.71,KZ,1676823799
431,vagay,57.9375,69.0217,253.11,100,89,1.38,RU,1676823800
